Month,Geography,Estimate,North American Industry Classification System (NAICS),Value,Monthly Change,Yearly change,Indexed value
Apr 2024,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
May 2024,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jun 2024,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jul 2024,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Aug 2024,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Sep 2024,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Oct 2024,New Brunswick,Average weekly earnings including overtime for all employees,"Mining, quarrying, and oil and gas extraction",..,..,..,..
Jan 2011,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  900.40,  2.5%,  6.5%,100.0
Feb 2011,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  925.37,  2.8%,  9.7%,102.8
Mar 2011,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  925.36,  0.0%, 10.4%,102.8
Apr 2011,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  889.69, -3.9%,  4.3%, 98.8
May 2011,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  897.06,  0.8%,  2.9%, 99.6
Jun 2011,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  896.66,  0.0%,  9.7%, 99.6
Jul 2011,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  881.93, -1.6%,  7.7%, 97.9
Aug 2011,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  912.86,  3.5%, 11.5%,101.4
Sep 2011,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  884.32, -3.1%,  1.7%, 98.2
Oct 2011,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  953.81,  7.9%, 10.1%,105.9
Nov 2011,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  901.05, -5.5%,  7.0%,100.1
Dec 2011,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  931.64,  3.4%,  6.1%,103.5
Jan 2012,New Brunswick,Average weekly earnings including overtime for all employees,Wholesale trade,$  911.37, -2.2%,  1.2%,101.2
